rooms,area_m2,price,floor,total_floor,is_new_building,place
3,106,2700,4,6,0,Ağ şəhər q.
3,145,1050,3,17,1,Nəsimi r.
3,142,1000,4,16,1,Nərimanov r.
3,142,1000,4,16,1,Nərimanov r.
2,60,900,7,16,1,Nərimanov r.
4,170,1000,11,23,1,Nizami m.
3,130,1200,7,8,0,8 Noyabr m.
3,85,850,6,16,1,Dərnəgül m.
2,68,1000,9,16,1,Nərimanov r.
2,55,550,4,5,0,Memar Əcəmi m.
1,40,300,5,5,0,Neftçilər m.
3,90,275,4,6,0,Şah İsmayıl Xətai m.
4,160,2300,2,18,1,Şah İsmayıl Xətai m.
2,45,250,1,2,0,Sumqayıt
2,94,1200,3,16,1,Elmlər Akademiyası m.
4,180,3800,7,30,1,Səbail r.
3,123,1600,11,23,1,Nizami m.
2,65,750,10,16,1,Dərnəgül m.
4,230,5000,5,16,1,Nəriman Nərimanov m.
3,105,980,2,14,1,Nizami m.
3,115,1000,14,16,1,Yasamal r.
2,62,650,14,16,1,Qara Qarayev m.
3,85,850,6,16,1,Dərnəgül m.
2,74,800,14,18,1,Qara Qarayev m.
3,110,950,9,11,1,Nəsimi m.
3,86,999,4,5,0,İçəri Şəhər m.
3,76,1200,12,15,1,20 Yanvar m.
3,80,900,2,9,0,Nəriman Nərimanov m.
3,135,1500,11,22,1,Sahil m.
2,100,1250,12,15,1,Sahil m.
3,120,1250,7,16,1,Nəriman Nərimanov m.
4,140,2200,3,4,0,Sahil m.
2,80,999,1,5,0,28 May m.
2,65,750,10,16,1,Dərnəgül m.
2,65,1299,8,22,1,Ağ şəhər q.
2,60,1550,13,16,1,Nizami m.
2,64,650,13,13,1,Yeni Yasamal q.
3,75,450,7,9,0,Xırdalan
3,137,2000,4,16,1,28 May m.
2,44,300,6,6,0,Masazır q.
4,190,1900,9,10,1,Nizami m.
3,96,940,15,16,1,Nəriman Nərimanov m.
2,55,699,5,20,1,20 Yanvar m.
3,140,2000,12,18,1,Nəriman Nərimanov m.
3,160,1050,6,10,1,8 Noyabr m.
4,200,1850,7,14,1,Gənclik m.
3,124,1100,10,17,1,Nəsimi r.
4,150,1600,13,18,1,Şah İsmayıl Xətai m.
2,75,1800,10,16,1,Nərimanov r.
1,56,335,9,14,1,Xırdalan
1,75,1800,10,14,1,Nərimanov r.
2,70,650,10,17,1,Həzi Aslanov m.
2,100,2000,2,8,0,Nardaran q.
3,130,2300,11,17,1,Nəriman Nərimanov m.
4,90,800,3,9,0,Azadlıq Prospekti m.
2,65,900,17,27,1,Yasamal q.
2,95,620,5,16,1,Nizami r.
3,160,1500,7,16,1,28 May m.
4,168,1400,3,16,1,Nəriman Nərimanov m.
4,200,1400,7,20,1,28 May m.
3,70,599,2,5,0,Həzi Aslanov q.
2,84,650,12,18,1,Azadlıq Prospekti m.
3,103,1100,11,19,1,Azadlıq Prospekti m.
2,68,1000,9,21,1,Şah İsmayıl Xətai m.
2,65,650,6,18,1,Xalqlar Dostluğu m.
3,130,2300,3,6,0,Ağ şəhər q.
2,65,600,2,5,0,Memar Əcəmi m.
4,100,830,5,9,0,Azadlıq Prospekti m.
2,70,800,3,17,1,Elmlər Akademiyası m.
3,45,600,1,5,0,Memar Əcəmi m.
3,155,1500,9,16,1,Nəsimi r.
2,90,1000,13,20,1,Nəriman Nərimanov m.
2,54,800,3,15,1,28 May m.
3,55,400,5,7,0,Masazır q.
2,65,700,4,10,1,Gənclik m.
2,70,1000,4,16,1,Nəriman Nərimanov m.
2,100,1000,7,18,1,Gənclik m.
2,80,850,10,19,1,8 Noyabr m.
3,125,1370,14,16,1,28 May m.
2,74,400,5,14,1,Sumqayıt
2,68,1000,9,16,1,Nərimanov r.
2,106,2700,4,7,0,Ağ şəhər q.
3,120,1200,8,16,1,Şah İsmayıl Xətai m.
2,40,500,3,5,0,Neftçilər m.
3,90,850,5,16,1,Qara Qarayev m.
2,70,1200,3,17,1,Nərimanov r.
2,71,700,12,18,1,Qara Qarayev m.
2,70,800,3,18,1,Nəriman Nərimanov m.
3,90,800,3,9,0,Qara Qarayev m.
2,65,650,16,18,1,Nəsimi m.
2,60,750,10,17,1,Dərnəgül m.
3,100,1499,6,14,1,Nizami m.
2,95,900,6,20,1,Nəsimi r.
2,75,1000,4,6,0,Nardaran q.
4,155,999,10,14,1,Nəriman Nərimanov m.
2,85,600,4,16,1,7
2,58,750,11,18,1,Elmlər Akademiyası m.
2,47,350,2,5,0,Sumqayıt
3,146,1200,3,17,1,Şah İsmayıl Xətai m.
2,70,699,4,10,1,Gənclik m.
4,160,2300,2,18,1,Şah İsmayıl Xətai m.
2,60,660,7,9,0,İnşaatçılar m.
2,93,1300,5,6,0,Sea Breeze q.
3,103,1200,11,19,1,Azadlıq Prospekti m.
2,95,1000,13,18,1,28 May m.
3,120,2000,17,18,1,Nəsimi r.
2,102,749,10,16,1,Nəriman Nərimanov m.
3,110,1500,10,10,1,28 May m.
2,60,650,1,5,0,Neftçilər m.
2,75,800,4,14,1,Nizami m.
2,61,450,1,9,0,Xırdalan
2,52,700,13,20,1,Nərimanov r.
2,90,930,9,16,1,Qara Qarayev m.
2,72,1200,9,20,1,Şah İsmayıl Xətai m.
3,110,1200,8,16,1,Şah İsmayıl Xətai m.
2,45,620,9,9,0,Gənclik m.
2,60,850,4,5,0,Elmlər Akademiyası m.
2,100,1100,24,24,1,Şah İsmayıl Xətai m.
3,122,900,16,21,1,İnşaatçılar m.
2,83,1200,7,17,1,28 May m.
4,190,2000,7,18,1,Nəriman Nərimanov m.
3,140,1900,3,20,1,Nəriman Nərimanov m.
3,130,3000,8,33,1,Səbail r.
3,170,1500,8,17,1,28 May m.
2,95,800,10,16,1,Nəriman Nərimanov m.
1,40,550,7,22,1,20 Yanvar m.
2,65,750,10,16,1,Dərnəgül m.
3,92,1000,2,5,0,Nəsimi r.
2,65,2300,13,20,1,Ağ şəhər q.
2,45,700,8,17,1,Xətai r.
