location,rooms,area_m2,price,url
"Elan №5767826 - Bakı, Dərnəgül m., 3 otaqlı, 90 m², 7/17 mərtəbə",3,90,800,https://bina.az/items/5767826
"Elan №5733370 - Bakı, 20 Yanvar m., 3 otaqlı, 72 m², 16/18 mərtəbə",3,72,1200,https://bina.az/items/5733370
"Elan №5767823 - Bakı, Nəriman Nərimanov m., 2 otaqlı, 63 m², 14/16 mərtəbə",2,63,950,https://bina.az/items/5767823
"Elan №5767820 - Bakı, Nəriman Nərimanov m., 3 otaqlı, 130 m², 7/16 mərtəbə",3,130,1250,https://bina.az/items/5767820
"Elan №5767815 - Bakı, İçəri Şəhər m., 2 otaqlı, 70 m², 3/17 mərtəbə",2,70,750,https://bina.az/items/5767815
"Elan №5640444 - Bakı, Yeni Yasamal q., 2 otaqlı, 90 m², 6/17 mərtəbə",2,90,450,https://bina.az/items/5640444
"Elan №5711070 - Bakı, Memar Əcəmi m., 2 otaqlı, 40 m², 3/5 mərtəbə",2,40,450,https://bina.az/items/5711070
"Elan №5767807 - Bakı, 8 Noyabr m., 2 otaqlı, 67 m², 9/27 mərtəbə",2,67,1000,https://bina.az/items/5767807
"Elan №5767806 - Bakı, 28 May m., 2 otaqlı, 75 m², 10/16 mərtəbə",2,75,1900,https://bina.az/items/5767806
"Elan №5286832 - Bakı, İnşaatçılar m., 2 otaqlı, 85 m², 4/17 mərtəbə",2,85,650,https://bina.az/items/5286832
"Elan №5767801 - Bakı, Sahil m., 3 otaqlı, 100 m², 4/5 mərtəbə",3,100,1000,https://bina.az/items/5767801
"Elan №5746764 - Xırdalan, Xırdalan, 4 otaqlı, 105 m², 9/17 mərtəbə",4,105,580,https://bina.az/items/5746764
"Elan №5767799 - Bakı, Dərnəgül m., 2 otaqlı, 60 m², 14/16 mərtəbə",2,60,730,https://bina.az/items/5767799
"Elan №5767803 - Bakı, Memar Əcəmi m., 3 otaqlı, 80 m², 5/9 mərtəbə",3,80,450,https://bina.az/items/5767803
"Elan №5767800 - Bakı, Nəriman Nərimanov m., 2 otaqlı, 96 m², 10/16 mərtəbə",2,96,800,https://bina.az/items/5767800
"Elan №5559865 - Bakı, Sahil m., 2 otaqlı, 94 m², 2/10 mərtəbə",2,94,3500,https://bina.az/items/5559865
"Elan №5767795 - Bakı, Gənclik m., 2 otaqlı, 56 m², 7/17 mərtəbə",2,56,1000,https://bina.az/items/5767795
"Elan №5767788 - Bakı, Nəsimi m., 3 otaqlı, 90 m², 17/18 mərtəbə",3,90,600,https://bina.az/items/5767788
